district,flood_risk,drought_risk
raigarh,0.1239,0.7138
raipur,0.0688,0.7049
raisen,0.0666,0.7055
rajanna sircilla,0.0087,0.5
rajasthan,0.0022,0.5
rajgarh,0.0533,0.7279
rajkot,0.0953,0.5896
rajnandgaon,0.0334,0.5
rajouri,0.0774,0.5
rajsamand,0.0338,0.5
ramagiri,0.0022,0.5
ramanagara,0.0505,0.5
ramananthapuram,0.5,0.7833
ramanathapuram,0.0743,0.5
ramban,0.0657,0.5
ramgarh,0.0244,0.5
rampur,0.1649,0.4016
ranchi,0.0531,0.7164
ranga reddy,0.0299,0.5
ranipet,0.0462,0.5
ratlam,0.0449,0.656
ratnagiri,0.1529,0.7082
rayagada,0.0761,0.5
reasi,0.0782,0.5
rewa,0.0628,0.7484
rewari,0.0478,0.5
ri bhoi,0.0238,0.5
ribhoi,0.0363,0.5
rohtak,0.0666,0.3462
rohtas,0.1534,0.5
roopnagar / ropar,0.5,0.1828
rudra prayag,0.0411,0.5
rudraprayag,0.0297,0.5
rugi,0.0022,0.5
rupnagar,0.2593,0.5
rural,0.0022,0.5
s.p.s. nellore,0.5,0.634
sabar kantha,0.0675,0.5
sabarkantha,0.5,0.5403
sagar,0.068,0.7881
saharanpur,0.1348,0.4322
saharsa,0.2926,0.6638
sahebganj,0.013,0.5
sahibganj,0.1216,0.5
sahibzada ajit singh nag,0.0022,0.5
saiha,0.0625,0.5
salem,0.0495,0.5623
samastipur,0.4276,0.5
samba,0.0501,0.5
sambalpur,0.0918,0.6149
sambhal,0.1074,0.5
sangareddy,0.0218,0.5
sangli,0.0787,0.5845
sangrur,0.1211,0.0126
sant kabir nagar,0.194,0.5
santal pargan,0.0022,0.5
santhal paragana / dumka,0.5,0.6727
saraikela kharsawan,0.0043,0.5
saraikelakharsawan,0.0063,0.5
saran,0.3747,0.6018
sas nagar,0.0563,0.5
satara,0.1105,0.612
satna,0.0304,0.7407
sawai madhopur,0.0856,0.5
sehore,0.0681,0.6653
senapati,0.0237,0.5
seoni,0.0565,0.5
seoni / shivani,0.5,0.7389
sepahijala,0.0411,0.5
serchhip,0.0433,0.5
several other district andhra pradesh,0.0022,0.5
shahabad (now part of bhojpur district),0.5,0.4914
shahdara,0.0346,0.5
shahdol,0.0282,0.7891
shahid bhagat singh nagar,0.2785,0.5
shahjahanpur,0.1829,0.3993
shajapur,0.039,0.6891
shamli,0.0978,0.5
sheikhpura,0.1435,0.5
sheohar,0.2815,0.5
sheopur,0.0499,0.5
shi yomi,0.0512,0.5
shimla,0.2602,0.735
shimoge,0.5,0.6772
shivamogga,0.0968,0.5
shivpuri,0.0337,0.6541
shopian,0.0368,0.5
shrawasti,0.165,0.5
shupiyan,0.0229,0.5
siaha,0.013,0.5
siang,0.086,0.5
sibsagar,0.5,0.6589
siddharthnagar,0.3525,0.5
siddipet,0.0188,0.5
sidhi,0.055,0.7875
sikar,0.0544,0.7144
sikkim,0.0087,0.5
silchar,0.0043,0.5
siliguri,0.0043,0.5
simdega,0.024,0.5
sindhudurg,0.1333,0.5
singhbhum,0.5,0.7412
singrauli,0.0387,0.5
sipahijala,0.0127,0.5
sirmaur,0.1571,0.6734
sirohi,0.0551,0.6839
sirsa,0.2549,0.5
sitamarhi,0.2277,0.5
sitapur,0.2208,0.5556
sivaganga,0.0582,0.5
sivasagar,0.6293,0.5
sivasagar amd sonitpur,0.0022,0.5
siwan,0.2373,0.5
solan,0.1488,0.6355
solapur,0.0996,0.7713
some districts of punjab,0.0022,0.5
some parts,0.013,0.5
sonbhadra,0.0641,0.5
sonipat,0.0819,0.5
sonitpur,0.4585,0.5
south,0.0326,0.5
south  parganas,0.0996,0.5
south andaman,0.0306,0.5
south andamans,0.0022,0.5
south arcot / cuddalore,0.5,0.611
south assam,0.0022,0.5
south district,0.032,0.5
south east,0.0458,0.5
south garo hills,0.0421,0.5
south goa,0.0769,0.5
south gujarat,0.0022,0.5
south kashmir,0.0022,0.5
south salmara mancachar,0.4747,0.5
south salmara mancachar  mankachar,0.0022,0.5
south salmara mancachar mankachar,0.0022,0.5
south tripura,0.0738,0.5
south twenty four pargan,0.2016,0.5
south west,0.1053,0.5
south west garo hills,0.0859,0.5
south west khasi hills,0.0483,0.5
southern parts,0.0043,0.5
sri muktsar sahib,0.0527,0.5
sri potti sriramulu nell,0.0146,0.5
sri potti sriramulu nellore,0.0671,0.5
sri sri muktsar sahib sahib,0.0519,0.5
srikakulam,0.1206,0.7569
srinagar,0.0622,0.5
sshrawasti,0.0649,0.5
sshrawasti   east up,0.0022,0.5
subarnapur,0.0916,0.5
suburbans,0.0022,0.5
sukma,0.0332,0.5
sultanpur,0.1916,0.5124
sundargarh,0.0883,0.6622
supaul,0.2573,0.5
surajpur,0.0258,0.5
surat,0.2147,0.5145
surendranagar,0.0999,0.5689
surguja,0.0172,0.7486
suryapet,0.0348,0.5
swami madhopur,0.5,0.5706
tamenglong,0.051,0.5
tapi,0.0584,0.5
tarn taran,0.1706,0.5
tawang,0.0878,0.5
tehri garhwal,0.0677,0.7003
telangana,0.0022,0.5
tengnoupal,0.0201,0.5
tenkasi,0.0238,0.5
thane,0.2365,0.6839
thanjavur,0.2105,0.6667
the dangs,0.048,0.5
the nilgiris,0.06,0.6433
theni,0.031,0.5
thirunelveli,0.5,0.5361
thiruvallur,0.0462,0.5
thiruvananthapuram,0.505,0.7508
thiruvarur,0.0938,0.5
