district,flood_count,flood_risk_freq,flood_risk_area,flood_risk
moga,28.0,0.1212121212121212,0.1156323219454808,0.1184
west karbi anglong,24.0,0.1038961038961039,0.1324752709844115,0.1182
kheda,26.0,0.1125541125541125,0.1204656344145138,0.1165
kanpur nagar,6.0,0.0259740259740259,0.2063226803582535,0.1161
chitrakoot,29.0,0.1255411255411255,0.1042542354767835,0.1149
bengaluru urban,53.0,0.2294372294372294,0.0,0.1147
ahmedabad,53.0,0.2294372294372294,0.0,0.1147
bharatpur,30.0,0.1298701298701298,0.0990018931126221,0.1144
una,52.0,0.2251082251082251,0.0007728165128259,0.1129
navsari,30.0,0.1298701298701298,0.0958236361094111,0.1128
banka,35.0,0.1515151515151515,0.0713727303351861,0.1114
wanaparthy,3.0,0.0129870129870129,0.2085486936229955,0.1108
satara,51.0,0.2207792207792207,0.0001278640762869,0.1105
jayashankar,0.0,0.0,0.2209619427181751,0.1105
kanpur nagar dehat,51.0,0.2207792207792207,0.0,0.1104
hoshiarpur,41.0,0.1774891774891775,0.0429966789455077,0.1102
baran,27.0,0.1168831168831168,0.1026634765409455,0.1098
viluppuram,25.0,0.1082251082251082,0.109182269469091,0.1087
khordha,29.0,0.1255411255411255,0.0911245088349153,0.1083
jaipur,47.0,0.2034632034632034,0.0126542966086269,0.1081
sambhal,30.0,0.1298701298701298,0.0850111787043943,0.1074
bundi,30.0,0.1298701298701298,0.0843037984676404,0.1071
aligarh,30.0,0.1298701298701298,0.0815697598200745,0.1057
south west,16.0,0.0692640692640692,0.1413792678244289,0.1053
hanumangarh,12.0,0.0519480519480519,0.1569252226451522,0.1044
east siang,23.0,0.0995670995670995,0.1083775638149149,0.104
north  parganas,48.0,0.2077922077922078,0.0,0.1039
kendujhar,37.0,0.1601731601731601,0.0474639155374581,0.1038
changlang,23.0,0.0995670995670995,0.1065631751225765,0.1031
gadag,40.0,0.1731601731601731,0.0327502295317514,0.103
koraput,45.0,0.1948051948051948,0.0078456872459932,0.1013
chamoli,37.0,0.1601731601731601,0.0418478281813167,0.101
jodhpur,43.0,0.1861471861471861,0.0148953268948605,0.1005
upper siang,23.0,0.0995670995670995,0.1010282253857875,0.1003
surendranagar,35.0,0.1515151515151515,0.0482439662184779,0.0999
latur,44.0,0.1904761904761904,0.0088496480162622,0.0997
south  parganas,46.0,0.1991341991341991,0.0,0.0996
solapur,37.0,0.1601731601731601,0.039076042149154,0.0996
jalna,45.0,0.1948051948051948,0.0025837564604173,0.0987
etah,34.0,0.1471861471861472,0.0501605919087052,0.0987
dehradun,31.0,0.1341991341991342,0.062685399679508,0.0984
patan,20.0,0.0865800865800865,0.1099146521527556,0.0982
shamli,27.0,0.1168831168831168,0.0786438003011148,0.0978
puri,42.0,0.1818181818181818,0.0136232089272601,0.0977
krishna,38.0,0.1645021645021645,0.0300445575780832,0.0973
shivamogga,44.0,0.1904761904761904,0.0030975710404725,0.0968
imphal west,12.0,0.0519480519480519,0.1407159196413382,0.0963
kaithal,14.0,0.0606060606060606,0.1319236397197429,0.0963
north tripura,29.0,0.1255411255411255,0.0653151175449969,0.0954
rajkot,41.0,0.1774891774891775,0.0130258845675415,0.0953
morena,18.0,0.0779220779220779,0.1125231271289834,0.0952
bhopal,44.0,0.1904761904761904,2.0931314354524297e-05,0.0952
dharashiv,44.0,0.1904761904761904,0.0,0.0952
palghar,35.0,0.1515151515151515,0.0382260125907919,0.0949
mandya,30.0,0.1298701298701298,0.0599496181174749,0.0949
gomati,19.0,0.0822510822510822,0.1065826511365829,0.0944
hassan,43.0,0.1861471861471861,0.0020408746509271,0.0941
thiruvarur,22.0,0.0952380952380952,0.0923026638540715,0.0938
ajmer,41.0,0.1774891774891775,0.0086172556388503,0.0931
ahmednagar,43.0,0.1861471861471861,0.0,0.0931
khammam,42.0,0.1818181818181818,0.0042932216679687,0.0931
jhansi,25.0,0.1082251082251082,0.0772120267370369,0.0927
bikaner,36.0,0.1558441558441558,0.0289943071907521,0.0924
sambalpur,36.0,0.1558441558441558,0.0276843310516622,0.0918
bhind,16.0,0.0692640692640692,0.1138519248054416,0.0916
subarnapur,20.0,0.0865800865800865,0.0965305734949288,0.0916
mayurbhanj,31.0,0.1341991341991342,0.0467378744614807,0.0905
prakasam,33.0,0.1428571428571428,0.0371967652731776,0.09
bhiwani,20.0,0.0865800865800865,0.0925933346667469,0.0896
alwar,38.0,0.1645021645021645,0.0144981937729615,0.0895
poonch,41.0,0.1774891774891775,0.0,0.0887
west tripura,35.0,0.1515151515151515,0.0259294021968859,0.0887
ferozepur,41.0,0.1774891774891775,0.0,0.0887
hapur,26.0,0.1125541125541125,0.0646474518904394,0.0886
sundargarh,23.0,0.0995670995670995,0.0769532103098695,0.0883
tawang,32.0,0.1385281385281385,0.0370996571538525,0.0878
