district,flood_count,flood_risk_freq
kancheepuram,15,0.06493506493506493
dharmapuri,15,0.06493506493506493
perambalur,15,0.06493506493506493
arvalli,15,0.06493506493506493
pakke kessang,15,0.06493506493506493
dungarpur,15,0.06493506493506493
ramanathapuram,15,0.06493506493506493
ratlam,15,0.06493506493506493
dausa,15,0.06493506493506493
fatehabad,15,0.06493506493506493
harda,15,0.06493506493506493
mandla,15,0.06493506493506493
shahdara,15,0.06493506493506493
hazaribagh,15,0.06493506493506493
leparada,15,0.06493506493506493
south east,15,0.06493506493506493
south,15,0.06493506493506493
jhabua,15,0.06493506493506493
kaithal,14,0.06060606060606061
theni,14,0.06060606060606061
mahisagar,14,0.06060606060606061
shivpuri,14,0.06060606060606061
virudhunagar,14,0.06060606060606061
ariyalur,14,0.06060606060606061
vijayapura,14,0.06060606060606061
chittorgarh,14,0.06060606060606061
alirajpur,14,0.06060606060606061
dahod,14,0.06060606060606061
rajsamand,14,0.06060606060606061
ramanagara,14,0.06060606060606061
chota udaipur,14,0.06060606060606061
rewari,14,0.06060606060606061
satna,14,0.06060606060606061
durg,13,0.05627705627705628
muzaffarabad,13,0.05627705627705628
dindori,13,0.05627705627705628
narsimhapur,13,0.05627705627705628
shahdol,13,0.05627705627705628
namakkal,13,0.05627705627705628
tiruppur,13,0.05627705627705628
chengalpattu,13,0.05627705627705628
tikamgarh,13,0.05627705627705628
karauli,13,0.05627705627705628
umaria,13,0.05627705627705628
ashoknagar,13,0.05627705627705628
karur,13,0.05627705627705628
rajnandgaon,13,0.05627705627705628
mirpur,13,0.05627705627705628
shajapur,13,0.05627705627705628
ranga reddy,13,0.05627705627705628
katni,12,0.05194805194805195
jhunjhunu,12,0.05194805194805195
imphal west,12,0.05194805194805195
imphal east,12,0.05194805194805195
datia,12,0.05194805194805195
hanumangarh,12,0.05194805194805195
new delhi,12,0.05194805194805195
bageshwar,12,0.05194805194805195
jhajjar,12,0.05194805194805195
neemuch,12,0.05194805194805195
nuh,11,0.047619047619047616
agarmalwa,11,0.047619047619047616
palwal,11,0.047619047619047616
charki dadri,11,0.047619047619047616
mahendragarh,11,0.047619047619047616
ri bhoi,11,0.047619047619047616
sheopur,11,0.047619047619047616
west khasi hills,11,0.047619047619047616
east nimar,11,0.047619047619047616
panna,11,0.047619047619047616
uttar kashi dinajpur,10,0.04329004329004329
anuppur,10,0.04329004329004329
sangareddy,10,0.04329004329004329
champhai,10,0.04329004329004329
kohima,10,0.04329004329004329
kallakurichi,10,0.04329004329004329
bastar,10,0.04329004329004329
singrauli,10,0.04329004329004329
purba bardhaman,10,0.04329004329004329
chamarajanagaraa,9,0.03896103896103896
udam singh nagar,9,0.03896103896103896
thoubal,9,0.03896103896103896
haridwar,9,0.03896103896103896
many parts,9,0.03896103896103896
east garo hills,9,0.03896103896103896
palamu,9,0.03896103896103896
vikarabad,8,0.03463203463203463
niwari,8,0.03463203463203463
ranipet,8,0.03463203463203463
chatra,8,0.03463203463203463
champawat,8,0.03463203463203463
sidhi,8,0.03463203463203463
lunglei,8,0.03463203463203463
sivaganga,8,0.03463203463203463
kargil,8,0.03463203463203463
south west garo hills,7,0.030303030303030304
serchhip,7,0.030303030303030304
ramgarh,7,0.030303030303030304
garhwa,7,0.030303030303030304
narayanpet,7,0.030303030303030304
mamit,7,0.030303030303030304
tamenglong,7,0.030303030303030304
tirupathur,7,0.030303030303030304
tenkasi,7,0.030303030303030304
south garo hills,7,0.030303030303030304
lawngtlai,7,0.030303030303030304
jayashankar bhupalapally,7,0.030303030303030304
siaha,6,0.025974025974025976
sahebganj,6,0.025974025974025976
north garo hills,6,0.025974025974025976
mangalore,6,0.025974025974025976
godda,6,0.025974025974025976
north westduar,6,0.025974025974025976
pondicherry,6,0.025974025974025976
east uttar kashi pradesh,6,0.025974025974025976
paschim purba bardhaman,6,0.025974025974025976
bokaro,6,0.025974025974025976
chamarajanagaraa chikkaballapura,6,0.025974025974025976
bishnupur,6,0.025974025974025976
manali,6,0.025974025974025976
bhadradri kothagudem,6,0.025974025974025976
kanpur nagar,6,0.025974025974025976
kolasib,6,0.025974025974025976
mahabubabad,6,0.025974025974025976
kashmir valley,6,0.025974025974025976
some parts,6,0.025974025974025976
surguja,6,0.025974025974025976
uttar kashi bastar kanker,5,0.021645021645021644
siddipet,5,0.021645021645021644
lohardaga,5,0.021645021645021644
south west khasi hills,5,0.021645021645021644
janjgirchampa,5,0.021645021645021644
leh ladakh,5,0.021645021645021644
jiribam,5,0.021645021645021644
east east jaintia hills,5,0.021645021645021644
purbi west singhbhum,5,0.021645021645021644
gumla,5,0.021645021645021644
noney,5,0.021645021645021644
most of the districts,5,0.021645021645021644
mulugu,5,0.021645021645021644
west east jaintia hills,5,0.021645021645021644
khunti,5,0.021645021645021644
kumuram bheem asifabad,5,0.021645021645021644
bagalkotee belagavi,5,0.021645021645021644
deoghar,4,0.017316017316017316
