State,District,Year,composite_yield_kg_ha,rolling_mean_yield,yield_ratio,flooded_area_pct,damage_label,damage_label_name
Gujarat,Sabarkantha,2017,2574.394,1764.2684000000002,1.4591850083581384,0,0,Healthy
Gujarat,Surat,2016,2357.548,1956.0603999999998,1.2052531711188468,0,0,Healthy
Gujarat,Surat,2017,2439.424,2120.3239999999996,1.1504958676126857,0,0,Healthy
Gujarat,Surendranagar,2016,1977.9620000000002,1696.6860000000001,1.16577964337538,0,0,Healthy
Gujarat,Surendranagar,2017,2000.502,1749.7728,1.1432924320231748,0,0,Healthy
Gujarat,Vadodara / Baroda,2016,2077.216,1927.4008,1.0777291365656796,0,0,Healthy
Gujarat,Vadodara / Baroda,2017,2021.23,1975.9036,1.0229395806556554,0,0,Healthy
Gujarat,Valsad,2016,1819.9279999999999,1684.6392,1.080307284788339,0,0,Healthy
Gujarat,Valsad,2017,1824.5,1774.122,1.0283960178612293,0,0,Healthy
Haryana,Ambala,2016,4201.88,2528.5344,1.6617847872664893,0,0,Healthy
Haryana,Ambala,2017,2663.738,2844.9912000000004,0.936290418051205,0,0,Healthy
Haryana,Gurgaon,2016,1777.9060000000002,1865.9724,0.9528040178943697,0,0,Healthy
Haryana,Gurgaon,2017,1873.056,1817.5428,1.0305429946408966,0,0,Healthy
Haryana,Hissar,2016,2058.816,2011.2104,1.0236701242197235,0,0,Healthy
Haryana,Hissar,2017,1963.53,2009.9352,0.976912091494293,0,0,Healthy
Haryana,Jind,2016,1881.3519999999996,1848.8228,1.0175945471897034,0,0,Healthy
Haryana,Jind,2017,1945.352,1825.5516,1.0656242200987363,0,0,Healthy
Haryana,Karnal,2016,2123.5260000000003,2367.5088000000005,0.89694534609544,0,3,Partial
Haryana,Karnal,2017,2144.1,2232.6384000000003,0.9603436006475565,0,0,Healthy
Haryana,Mahendragarh / Narnaul,2016,1789.19,1867.8852,0.9578693594231594,0,0,Healthy
Haryana,Mahendragarh / Narnaul,2017,1684.298,1803.4072,0.9339532413977275,0,0,Healthy
Haryana,Rohtak,2016,6328.608,2453.2544000000003,2.579678650530495,0,0,Healthy
Haryana,Rohtak,2017,2798.906,3147.4900000000002,0.8892501644167257,0,3,Partial
Himachal Pradesh,Bilashpur,2016,941.882,1161.1852000000001,0.811138481613441,0,3,Partial
Himachal Pradesh,Bilashpur,2017,1299.768,1102.336,1.1791032861124013,0,0,Healthy
Himachal Pradesh,Chamba,2016,1044.636,1282.308,0.8146529538925126,0,3,Partial
Himachal Pradesh,Chamba,2017,1517.752,1244.1344000000001,1.2199260787258996,0,0,Healthy
Himachal Pradesh,Kangra,2016,972.5120000000001,1162.5416,0.8365395268435986,0,3,Partial
Himachal Pradesh,Kangra,2017,1319.826,1127.1876,1.170901809068872,0,0,Healthy
Himachal Pradesh,Kinnaur,2016,975.402,1158.5264000000002,0.8419333387655213,0,3,Partial
Himachal Pradesh,Kinnaur,2017,1169.912,1147.2912000000001,1.0197167031351762,0,0,Healthy
Himachal Pradesh,Kullu,2016,1090.34,1262.0916000000002,0.8639151072711361,0,3,Partial
Himachal Pradesh,Kullu,2017,1362.866,1221.0675999999999,1.1161265764483475,0,0,Healthy
Himachal Pradesh,Lahul & Spiti,2016,550.77,792.0,0.6954166666666667,0,1,Drought
Himachal Pradesh,Lahul & Spiti,2017,835.3979999999999,746.154,1.119605336163848,0,0,Healthy
Himachal Pradesh,Mandi,2016,541.472,713.4384,0.7589611100271586,0,1,Drought
Himachal Pradesh,Mandi,2017,960.6019999999999,680.1063999999999,1.4124289964040921,0,0,Healthy
Himachal Pradesh,Shimla,2016,990.3779999999999,1063.9472,0.9308525836620463,0,0,Healthy
Himachal Pradesh,Shimla,2017,1409.15,1049.8395999999998,1.3422526641212622,0,0,Healthy
Himachal Pradesh,Sirmaur,2016,1133.134,1202.5372,0.9422860265778057,0,0,Healthy
Himachal Pradesh,Sirmaur,2017,1236.33,1200.4652,1.029875751500335,0,0,Healthy
Himachal Pradesh,Solan,2016,1294.376,1377.7628,0.9394766646334187,0,0,Healthy
Himachal Pradesh,Solan,2017,1453.1060000000002,1440.6312,1.0086592599132937,0,0,Healthy
Jharkhand,Dhanbad,2016,846.03,997.7572,0.8479317413094087,0,3,Partial
Jharkhand,Dhanbad,2017,1108.006,932.6292000000001,1.1880455812449364,0,0,Healthy
Jharkhand,Hazaribagh,2016,1350.294,1126.732,1.198416304853328,0,0,Healthy
Jharkhand,Hazaribagh,2017,1094.464,1196.8372,0.9144635544416567,0,0,Healthy
Jharkhand,Palamau,2016,1211.882,835.01,1.451338307325661,0,0,Healthy
Jharkhand,Palamau,2017,792.442,898.2031999999999,0.882252479171751,0,3,Partial
Jharkhand,Ranchi,2016,1460.316,1102.7164,1.3242897267148652,0,0,Healthy
Jharkhand,Ranchi,2017,1202.968,1163.7916,1.0336627279317019,0,0,Healthy
Jharkhand,Santhal Paragana / Dumka,2016,1286.766,988.192,1.3021416890644735,0,0,Healthy
Jharkhand,Santhal Paragana / Dumka,2017,1160.176,1023.4268,1.1336189359121727,0,0,Healthy
Jharkhand,Singhbhum,2016,1092.358,844.3936,1.293659734038723,0,0,Healthy
Jharkhand,Singhbhum,2017,891.358,906.5683999999999,0.9832220050908459,0,0,Healthy
Karnataka,Bangalore,2016,1244.1299999999999,1548.2132,0.8035908749518477,0,3,Partial
Karnataka,Bangalore,2017,1772.096,1453.982,1.218788128051104,0,0,Healthy
Karnataka,Belgaum,2016,1690.396,1499.3999999999999,1.1273816193143924,0,0,Healthy
Karnataka,Belgaum,2017,2355.774,1526.0552,1.5437016957184773,0,0,Healthy
Karnataka,Bellary,2016,1988.484,1996.2764000000002,0.9960965325242536,0,0,Healthy
Karnataka,Bellary,2017,2666.85,2004.0516000000002,1.3307292087688758,0,0,Healthy
Karnataka,Bidar,2016,982.8459999999999,1462.5748,0.6719970834995925,0,1,Drought
Karnataka,Bidar,2017,2025.0939999999998,1366.6904,1.4817503657009663,0,0,Healthy
Karnataka,Bijapur / Vijayapura,2016,2084.2,1878.8295999999998,1.1093076242784339,0,0,Healthy
Karnataka,Bijapur / Vijayapura,2017,2470.326,1908.7900000000002,1.2941842738069667,0,0,Healthy
Karnataka,Chickmagalur,2016,1224.128,1184.7112000000002,1.0332712309970562,0,0,Healthy
Karnataka,Chickmagalur,2017,1238.5,1200.4604000000002,1.031687509225627,0,0,Healthy
Karnataka,Chitradurga,2016,1570.256,2062.9892,0.7611557055170236,0,1,Drought
Karnataka,Chitradurga,2017,2402.4379999999996,1975.6092,1.2160492064928627,0,0,Healthy
Karnataka,Dakshina Kannada,2016,1167.036,1118.3844000000001,1.0435016797444598,0,0,Healthy
Karnataka,Dakshina Kannada,2017,1347.614,1134.7528,1.1875837627366947,0,0,Healthy
Karnataka,Dharwad,2016,1033.054,1372.9548,0.7524311798174275,0,1,Drought
Karnataka,Dharwad,2017,1737.3259999999998,1267.7564,1.3703941861385986,0,0,Healthy
Karnataka,Gulbarga / Kalaburagi,2016,1885.616,1553.6167999999998,1.213694393623962,0,0,Healthy
Karnataka,Gulbarga / Kalaburagi,2017,2746.5060000000003,1625.5151999999998,1.6896218503524303,0,0,Healthy
Karnataka,Hassan,2016,901.0440000000001,1441.0892,0.6252520662843079,0,1,Drought
Karnataka,Hassan,2017,2253.732,1344.3752,1.676415929124548,0,0,Healthy
Karnataka,Kodagu / Coorg,2016,1593.792,1412.0408000000002,1.128715260918806,0,0,Healthy
Karnataka,Kodagu / Coorg,2017,1976.25,1469.9299999999998,1.344451776615213,0,0,Healthy
Karnataka,Kolar,2016,1218.0700000000002,1352.9856,0.9002830480974817,0,0,Healthy
Karnataka,Kolar,2017,1855.2900000000002,1333.3511999999998,1.391448854585349,0,0,Healthy
Karnataka,Mandya,2016,739.318,1635.6632,0.4519989200710758,0,1,Drought
Karnataka,Mandya,2017,1209.25,1462.8052000000002,0.8266650952567025,0,3,Partial
Karnataka,Mysore,2016,1255.608,1721.9828000000002,0.7291640775970584,0,1,Drought
